"taxon";"matched.taxon"
"Pinus mugo ";"Pinus mugo s.str."
"Pinus mugo";"Pinus mugo s.str."
"Acer pseudoplatanus";"Acer pseudoplatanus"
"Pinus sylvestris";"Pinus sylvestris"
"Pinus sylvestris";"Pinus sylvestris"
"Picea abies";"Picea abies"
"Picea abies";"Picea abies"
"Salix glabra";"Salix glabra"
"Salix waldsteiniana";"Salix waldsteiniana"
"Salix appendiculata";"Salix appendiculata s.str."
"Salix appendiculata/waldsteiniana";"Salix appendiculata ✕ waldsteiniana"
"Fraxinus excelsior";"Fraxinus excelsior"
"Salix sp.";"Salix sp."
"Salix sp.";"Salix sp."
"Carex firma";"Carex firma"
"Valeriana saxatilis";"Valeriana saxatilis"
"Tofieldia calyculata";"Tofieldia calyculata"
"Erica carnea";"Erica carnea"
"Gentiana clusii";"Gentiana clusii ssp. clusii"
"Aster bellidiastrum";"Bellidiastrum michelii"
"Ranunculus alpestris";"Ranunculus alpestris s.str."
"Phyteuma orbiculare";"Phyteuma orbiculare s.str."
"Athamanta cretensis";"Athamanta cretensis"
"Androsace chamaejasme";"Androsace chamaejasme"
"Saxifraga caesia";"Saxifraga caesia"
"Biscutella laevigata";"Biscutella laevigata ssp. laevigata"
"Gentiana verna";"Gentiana verna ssp. verna"
"Gentianella aspera";"Gentianella aspera"
"Persicaria vivipara";"Persicaria vivipara"
"Leontodon hispidus";"Leontodon hispidus s.lat."
"Soldanella alpina";"Soldanella alpina"
"Potentilla erecta";"Potentilla erecta"
"Aquilegia einseleana";"Aquilegia einseleana"
"Campanula scheuchzeri";"Campanula scheuchzeri"
"Homogyne alpina";"Homogyne alpina"
"Lotus corniculatus";"Lotus corniculatus s.str."
"Gentianopsis ciliata";"Gentianopsis ciliata"
"Primula farinosa";"Primula farinosa"
"Thymus praecox ssp. polytrichus";"Thymus praecox ssp. polytrichus"
"Carduus defloratus agg.";"Carduus defloratus ssp. viridis"
"Selaginella selaginoides";"Selaginella selaginoides"
"Primula auricula";"Primula auricula ssp. auricula"
"Linum catharticum";"Linum catharticum"
"Parnassia palustris";"Parnassia palustris"
"Molinia caerulea agg.";"Molinia caerulea agg."
"Polygala chamaebuxus";"Polygala chamaebuxus"
"Rhodothamnus chamaecistus";"Rhodothamnus chamaecistus"
"Globularia cordifolia";"Globularia cordifolia s.str."
"Sesleria albicans";"Sesleria caerulea s.str."
"Dryas octopetala";"Dryas octopetala"
"Euphrasia salisburgensis";"Euphrasia salisburgensis s.str."
"Carex mucronata";"Carex mucronata"
"Pinguicula alpina";"Pinguicula alpina"
"Potentilla caulescens";"Potentilla caulescens ssp. caulescens"
"Campanula cochleariifolia";"Campanula cochleariifolia"
"Calamagrostis varia";"Calamagrostis varia"
"Thesium alpinum";"Thesium alpinum"
"Globularia nudicaulis";"Globularia nudicaulis"
"Leontodon hispidus ssp. glabratus";"Leontodon hispidus ssp. hispidus"
"Anthericum ramosum";"Anthericum ramosum"
"Pedicularis rostratocapitata";"Pedicularis rostratocapitata ssp. rostratocapitata"
"Achillea clavenae";"Achillea clavennae"
"Galium anisophyllon";"Galium anisophyllon"
"Rhododendron hirsutum";"Rhododendron hirsutum"
"Primula clusiana";"Primula clusiana"
"Asplenium ruta-muraria";"Asplenium ruta-muraria"
"Alchemilla alpina";"Alchemilla hoppeana"
"Viola biflora";"Viola biflora"
"Carex digitata";"Carex digitata"
"Acer pseudoplatanus";"Acer pseudoplatanus"
"Silene pusilla";"Heliosperma pusillum ssp. pusillum"
"Agrostis alpina agg.";"Agrostis alpina s.str."
"Scabiosa lucida";"Scabiosa lucida ssp. lucida"
"Thymus praecox agg.";"Thymus praecox s.lat."
"Allium senescens ssp. montanum";"Allium lusitanicum"
"Hieracium pilosum";"Hieracium pilosum"
"Senecio abrotanifolius";"Senecio abrotanifolius var. abrotanifolius"
"Leontodon hispidus ssp. hyoseroides";"Leontodon hispidus ssp. hyoseroides"
"Buphthalmum salicifolium";"Buphthalmum salicifolium"
"Hieracium glaucum";"Hieracium glaucum"
"Adenostyles glabra";"Adenostyles alpina"
"Euphorbia cyparissias";"Euphorbia cyparissias"
"Crepis jacquinii s.lat.";"Crepis jacquinii s.lat."
"Hieracium bifidum";"Hieracium bifidum"
"Silene nutans s.lat.";"Silene nutans ssp. nutans"
"Hieracium murorum/bifidum";"Hieracium murorum"
"Carex ornithopoda";"Carex ornithopoda s.lat."
"Kernera saxatilis";"Kernera saxatilis"
"Hippocrepis comosa";"Hippocrepis comosa"
"Gypsophila repens";"Gypsophila repens"
"Festuca pumila";"Festuca pumila"
"Helianthemum nummularium agg.";"Helianthemum nummularium s.lat."
"Anthyllis vulneraria";"Anthyllis vulneraria s.lat."
"Carex sempervirens";"Carex sempervirens ssp. sempervirens"
"Thymus pulegioides";"Thymus pulegioides ssp. pulegioides"
"Arctostaphylos alpinus";"Arctostaphylos alpinus"
"Bartsia alpina";"Bartsia alpina"
"Hedysarum hedysaroides";"Hedysarum hedysaroides ssp. hedysaroides"
"Crepis jacquinii ssp. kerneri";"Crepis jacquinii ssp. kerneri"
"Oxytropis montana";"Oxytropis montana s.str."
"Saxifraga paniculata";"Saxifraga paniculata"
"Silene acaulis";"Silene acaulis ssp. longiscapa"
"Poa alpina";"Poa alpina"
"Festuca rubra";"Festuca rubra"
"Aconitum napellus";"Aconitum napellus s.lat."
"Arabis bellidifolia";"Arabis bellidifolia s.str."
"Luzula glabrata";"Luzula glabrata"
"Asplenium trichomanes";"Asplenium trichomanes s.lat."
"Asplenium viride";"Asplenium viride"
"Carex capillaris";"Carex capillaris"
"Carex ferruginea";"Carex ferruginea s.str."
"Carlina acaulis";"Carlina acaulis s.lat."
"Epipactis species";"Epipactis sp."
"Galium album s.lat.";"Galium mollugo agg."
"Galium species";"Galium sp."
"Gentiana asclepiadea";"Gentiana asclepiadea"
"Helianthemum alpestre";"Helianthemum alpestre s.str."
"Hieracium villosum";"Hieracium villosum"
"Leontodon hispidus ssp. hispidus";"Leontodon hispidus ssp. hispidus"
"Leontodon incanus";"Leontodon incanus"
"Polygala amara";"Polygala amara ssp. brachyptera"
"Ranunculus nemorosus";"Ranunculus nemorosus"
"Cyclamen purpurascens";"Cyclamen purpurascens"
"Leontodon hispidus ssp. pseudocrispus";"Leontodon hispidus ssp. pseudocrispus"
"Rumex scutatus";"Rumex scutatus"
"Rhinanthus glacialis";"Rhinanthus glacialis"
"Valeriana tripteris";"Valeriana tripteris"
"Vincetoxicum hirundinaria";"Vincetoxicum hirundinaria"
"Tortella tortuosa";"Tortella tortuosa"
"Orthothecium rufescens";"Orthothecium rufescens"
"Ctenidium molluscum";"Ctenidium molluscum s.lat."
"Neckera crispa";"Neckera crispa"
"Racomitrium canescens";"Racomitrium canescens s.lat."
"Ditrichium flexicaule";"Ditrichum flexicaule"
"Fissidens dubius";"Fissidens dubius"
"Racomitrium sudeticum";"Racomitrium sudeticum"
"Leskeella nervosa";"Pseudoleskeella nervosa"
"Distichium capillaceum";"Distichium capillaceum"
"Cirriphyllum piliferum";"Cirriphyllum piliferum"
"Campylium halleri";"Campylium halleri"
"Desmatodon cernuus";"Desmatodon cernuus"
"Barbula crocea";"Barbula crocea"
"Hylocomium splendens";"Hylocomium splendens"
"Hygrohypnum luridum";"Hygrohypnum luridum"
"Pseudoleskea catenulata";"Pseudoleskeella catenulata"
"Campylium stellatum var. protensum";"Campylium stellatum"
"Rhytidium rugosum";"Rhytidium rugosum"
"Abietinella abietina";"Abietinella abietina var. abietina"
"Thuidium delicatulum";"Thuidium delicatulum"
