"taxon";"matched.taxon";"abbr"
"Carex firma";"Carex firma";"care firm"
"Helianthemum alpestre";"Helianthemum alpestre s.str.";"heli alpe"
"Crepis kerneri";"Crepis jacquinii ssp. kerneri";"crep jacq kern"
"Saussurea pygmaea";"Saussurea pygmaea";"saus pygm"
"Chamorchis alpina";"Chamorchis alpina";"cham alpi"
"Saxifraga caesia";"Saxifraga caesia";"saxi caes"
NA;NA;NA
"Phyteuma sieberi";"Phyteuma sieberi";"phyt sieb"
"Pedicularis rostrato-capitata";"Pedicularis rostratocapitata ssp. rostratocapitata";"pedi rost tata"
"Saxifraga squarrosa";"Saxifraga squarrosa";"saxi squa"
"Sesleria sphaerocephala";"Sesleria sphaerocephala s.lat.";"sesl spha slat"
"Achillea clavenae";"Achillea clavennae";"achi clav"
"Gentiana terglouensis";"Gentiana terglouensis";"gent terg"
NA;NA;NA
"Polygonum viviparum";"Persicaria vivipara";"pers vivi"
"Festuca nitida";"Festuca nitida";"fest niti"
"Drepanocladus uncinatus";"Sanionia uncinata";"sani unci"
"Geranium argenteum";"Geranium argenteum";"gera arge"
"Oncophorus virens";"Oncophorus virens";"onco vire"
"Potentilla nitida";"Potentilla nitida";"pote niti"
"Oxytropis jacquinii";"Oxytropis montana s.str.";"oxyt mont"
"Primula auricula";"Primula auricula ssp. balbisii";"prim auri balb"
"Campanula zoysii";"Campanula zoysii";"camp zoys"
"Paederota lutea";"Paederota lutea";"paed lute"
"Petrocallis pyrenaica";"Petrocallis pyrenaica";"petr pyre"
"Dryas octopetala";"Dryas octopetala";"drya octo"
"Athamanta cretensis";"Athamanta cretensis";"atha cret"
"Leontodon hispidus s. lat.";"Leontodon hispidus s.lat.";"leon hisp slat"
NA;NA;NA
"Koeleria eriostachya";"Koeleria eriostachya";"koel erio"
"Linum julicum";"Linum julicum";"linu juli"
"Laserpitium peucedanoides";"Laserpitium peucedanoides";"lase peuc"
"Senecio abrotanifolius";"Senecio abrotanifolius s.lat";"sene abro slat"
"Trifolium noricum";"Trifolium noricum";"trif nori"
NA;NA;NA
"Aster bellidiastrum";"Bellidiastrum michelii";"bell mich"
"Sesleria albicans";"Sesleria caerulea s.str.";"sesl caer"
"Gentiana clusii";"Gentiana clusii ssp. clusii";"gent clus clus"
"Leontopodium alpinum";"Leontopodium alpinum";"leon alpi"
"Anthyllis vulneraria/alpestris";"Anthyllis vulneraria ssp. alpicola";"anth vuln alpi"
"Ranunculus hybridus";"Ranunculus hybridus";"ranu hybr"
"Silene acaulis";"Silene acaulis ssp. longiscapa";"sile acau long"
"Pinguicula alpina";"Pinguicula alpina";"ping alpi"
"Salix alpina";"Salix alpina";"sali alpi"
"Thymus alpigenus";"Thymus praecox ssp. polytrichus";"thym prae poly"
"Homogyne discolor";"Homogyne discolor";"homo disc"
"Carex sempervirens";"Carex sempervirens ssp. sempervirens";"care semp semp"
"Hieracium villosum";"Hieracium villosum";"hier vill"
"Hedysarum hedysaroides";"Hedysarum hedysaroides ssp. hedysaroides";"hedy hedy hedy"
"Poa alpina";"Poa alpina";"poa alpi"
"Androsace villosa";"Androsace villosa";"andr vill"
"Galium anisophyllum";"Galium anisophyllon";"gali anis"
"Bartsia alpina";"Bartsia alpina";"bart alpi"
"Euphrasia salisburgensis";"Euphrasia salisburgensis s.str.";"euph sali"
"Erigeron glabratus";"Erigeron glabratus s.lat.";"erig glab slat"
"Aster alpinus";"Aster alpinus";"aste alpi"
"Astrantia bavarica";"Astrantia bavarica";"astr bava"
"Carex mucronata";"Carex mucronata";"care mucr"
"Heliosperma alpestre";"Heliosperma alpestre";"heli alpe cary"
"Biscutella laevigata";"Biscutella laevigata s.lat.";"bisc laev slat"
"Salix serpyllifolia";"Salix serpyllifolia";"sali serp"
"Potentilla crantzii";"Potentilla crantzii";"pote cran"
"Pedicularis verticillata";"Pedicularis verticillata";"pedi vert"
"Gentianella anisodonta";"Gentianella anisodonta";"gent anis"
"Euphrasia picta";"Euphrasia officinalis ssp. picta";"euph offi pict"
"Ranunculus carinthiacus";"Ranunculus carinthiacus";"ranu cari"
"Gentiana verna";"Gentiana verna ssp. verna";"gent vern vern"
"Carlina acaulis/simplex";"Carlina acaulis ssp. caulescens";"carl acau caul"
"Pulsatilla alpina";"Pulsatilla alpina ssp. austroalpina";"puls alpi aust"
"Thesium alpinum";"Thesium alpinum";"thes alpi"
"Anemone narcissiflora";"Anemonastrum narcissiflorum";"anem narc"
"Campanula scheuchzeri";"Campanula scheuchzeri";"camp sche"
"Daphne striata";"Daphne striata";"daph stri"
"Coeloglossum viride";"Coeloglossum viride";"coel viri"
"Gentiana nivalis";"Gentiana nivalis";"gent niva"
"Betonica alopecuros";"Betonica alopecuros";"beto alop"
"Helianthemum grandiflorum";"Helianthemum nummularium ssp. grandiflorum";"heli numm gran"
"Hieracium bifidum";"Hieracium bifidum";"hier bifi"
"Myosotis alpestris";"Myosotis alpestris";"myos alpe"
"Polygala alpestris";"Polygala alpestris s.lat.";"poly alpe slat"
"Rhinanthus aristatus";"Rhinanthus aristatus agg.";"rhin aris aggr"
"Alchemilla velebitica";"Alchemilla alpigena";"alch alpi"
"Anthoxanthum nipponicum";"Anthoxanthum alpinum";"anth alpi"
"Arabis vochinensis";"Arabis vochinensis";"arab voch"
"Cerastium subtriflorum";"Cerastium subtriflorum";"cera subt"
"Euphrasia pulchella";"Euphrasia minima subsp. pulchella";"euph mini pulc"
"Gentiana pumila";"Gentiana pumila";"gent pumi"
"Gentiana utriculosa";"Gentiana utriculosa";"gent utri"
"Lotus corniculatus";"Lotus corniculatus s.str.";"lotu corn"
NA;NA;NA
"Campanula cochleariifolia";"Campanula cochleariifolia";"camp coch"
"Ranunculus traunfellneri";"Ranunculus traunfellneri";"ranu trau"
"Soldanella minima";"Soldanella minima";"sold mini"
"Salix retusa";"Salix retusa s.str.";"sali retu"
"Juncus monanthos";"Juncus monanthos";"junc mona"
"Saxifraga aizoides";"Saxifraga aizoides";"saxi aizo"
"Cerastium austroalpinum";"Cerastium carinthiacum ssp. austroalpinum";"cera cari aust"
"Gypsophila repens";"Gypsophila repens";"gyps repe"
"Thlaspi kerneri";"Noccaea minima";"nocc mini"
"Soldanella alpina";"Soldanella alpina";"sold alpi"
"Achillea atrata";"Achillea atrata";"achi atra"
"Armeria alpina";"Armeria alpina";"arme alpi"
"Festuca laxa";"Festuca laxa";"fest laxa"
"Minuartia austriaca";"Minuartia austriaca";"minu aust"
"Silene vulgaris/glareosa";"Silene vulgaris ssp. glareosa";"sile vulg glar"
"Alyssum ovirense";"Alyssum ovirense";"alys ovir"
"Moehringia ciliata";"Moehringia ciliata";"moeh cili"
"Poa minor";"Poa minor";"poa mino"
"Rumex scutatus";"Rumex scutatus";"rume scut"
NA;NA;NA
"Valeriana saxatilis";"Valeriana saxatilis";"vale saxa"
"Saxifraga crustata";"Saxifraga crustata";"saxi crus"
"Viola biflora";"Viola biflora";"viol bifl"
"Minuartia sedoides";"Minuartia sedoides";"minu sedo"
"Potentilla clusiana";"Potentilla clusiana";"pote clus"
"Saxifraga paniculata";"Saxifraga paniculata";"saxi pani"
"Saxifraga burseriana";"Saxifraga burseriana";"saxi burs"
"Asplenium viride";"Asplenium viride";"aspl viri"
"Bupleurum petraeum";"Bupleurum petraeum";"bupl petr"
"Asperula aristata";"Asperula aristata subsp. oreophila";"aspe aris oreo"
"Astragalus australis";"Astragalus australis";"astr aust alis"
"Carex atrata";"Carex atrata";"care atra"
"Carex capillaris";"Carex capillaris";"care capi"
"Minuartia rupestris";"Minuartia rupestris s.str.";"minu rupe"
"Saxifraga tenella";"Saxifraga tenella";"saxi tene"
"Arabis pumila/stellulata";"Arabis stellulata";"arab stel"
"Valeriana elongata";"Valeriana elongata";"vale elon"
NA;NA;NA
"Rhodothamnus chamaecistus";"Rhodothamnus chamaecistus";"rhod cham"
"Rhododendron hirsutum";"Rhododendron hirsutum";"rhod hirs"
"Arctostaphyllos alpina";"Arctostaphylos alpinus";"arct alpi"
"Calamagrostis varia";"Calamagrostis varia";"cala vari"
"Larix decidua";"Larix decidua";"lari deci deci"
NA;NA;NA
"Selaginella selaginoides";"Selaginella selaginoides";"sela sela"
"Picea abies";"Picea abies";"pice abie"
"Pinus mugo";"Pinus mugo s.str.";"pinu mugo"
"Vaccinium vitis-idaea";"Vaccinium vitis-idaea";"vacc viti"
"Huperzia selago";"Huperzia selago ssp. selago";"hupe sela"
NA;NA;NA
"Salix waldsteiniana";"Salix waldsteiniana";"sali wald"
"Salix appendiculata";"Salix appendiculata s.str.";"sali appe"
"Tofieldia calyculata";"Tofieldia calyculata";"tofi caly"
"Festuca sp.";"Festuca sp.";"fest spec ies"
"Parnassia palustris";"Parnassia palustris";"parn palu"
NA;NA;NA
"Homogyne alpina";"Homogyne alpina";"homo alpi"
"Lloydia serotina";"Lloydia serotina";"lloy sero"
"Alchemilla flabellata";"Alchemilla flabellata";"alch flab"
"Carex ornithopoda";"Carex ornithopoda s.lat.";"care orni slat"
"Daphne mezereum";"Daphne mezereum";"daph meze"
"Globularia cordifolia";"Globularia cordifolia s.str.";"glob cord"
"Linum catharticum";"Linum catharticum";"linu cath"
"Alchemilla cinerea";"Alchemilla cinerea";"alch cine"
"Festuca nigrescens";"Festuca nigrescens";"fest nigr cens"
"Gentianella ciliata";"Gentianopsis ciliata";"gent cili"
"Gnaphalium supinum";"Gnaphalium supinum";"gnap supi"
"Hieracium sylvaticum";"Hieracium murorum";"hier muro"
"Laserpitium siler";"Laserpitium siler ssp. siler";"lase sile sile"
"Luzula multiflora";"Luzula multiflora s.str.";"luzu mult"
"Poa sp.";"Poa sp.";"poa spec ies"
"Pseudorchis albida";"Pseudorchis albida s.lat.";"pseu albi slat"
"Trifolium pallescens";"Trifolium pallescens";"trif pall"
