taxon;matched.taxon;abbr
Carex bicolor;Carex bicolor;care bico
Equisetum variegatum;Equisetum variegatum;equi vari
Tofieldia pusilla;Tofieldia pusilla;tofi pusi
Juncus triglumis;Juncus triglumis ssp. triglumis;junc trig trig
Saxifraga aizoides;Saxifraga aizoides;saxi aizo
Persicaria vivipara;Persicaria vivipara;pers vivi
Poa alpina;Poa alpina;poa alpi
Bartsia alpina;Bartsia alpina;bart alpi
Salix retusa;Salix retusa s.str.;sali retu
Salix breviserrata;Salix breviserrata;sali brev
Salix reticulata;Salix reticulata;sali reti
Salix serpyllifolia;Salix serpyllifolia;sali serp
Salix waldsteiniana;Salix waldsteiniana;sali wald
Achillea moschata;Achillea moschata;achi mosc
Trifolium pallescens;Trifolium pallescens;trif pall
Cerastium uniflorum;Cerastium uniflorum;cera unif
Carex parviflora;Carex parviflora;care parv
Achillea atrata;Achillea atrata;achi atra
Saxifraga oppositifolia;Saxifraga oppositifolia ssp. oppositifolia;saxi oppo oppo
Arabis soyeri ssp. subcoriacea;Arabis soyeri ssp. subcoriacea;arab soye subc
Festuca pumila;Festuca pumila;fest pumi
Agrostis rupestris;Agrostis rupestris;agro rupe rupe
Carex frigida;Carex frigida;care frig
Parnassia palustris;Parnassia palustris;parn palu
Silene exscapa;Silene acaulis ssp. exscapa;sile acau exsc
Carex bipartita;Carex lachenalii;care lach
Salix herbacea;Salix herbacea;sali herb
Solorina bispora ssp. bispora;Solorina bispora ssp. bispora;solo bisp bisp
Veronica alpina;Veronica alpina;vero alpi
Euphrasia minima;Euphrasia minima s.str.;euph mini
Artemisia mutellina;Artemisia mutellina;arte mute
Gentiana bavarica;Gentiana bavarica s.str.;gent bava
Trifolium pratense ssp. nivale;Trifolium pratense ssp. nivale;trif prat niva
Deschampsia cespitosa;Deschampsia cespitosa;desc cesp
Leontodon helveticus;Scorzoneroides helvetica;scor helv
Lotus corniculatus;Lotus corniculatus s.str.;lotu corn
Ranunculus montanus;Ranunculus montanus s.str.;ranu mont
Sesleria albicans;Sesleria caerulea s.str.;sesl caer
Ranunculus acris;Ranunculus acris ssp. acris;ranu acri acri
Campanula scheuchzeri;Campanula scheuchzeri;camp sche
Prunella vulgaris;Prunella vulgaris;prun vulg
Gypsophila repens;Gypsophila repens;gyps repe
Veronica aphylla;Veronica aphylla;vero aphy
Carex capillaris;Carex capillaris;care capi
Oxytropis halleri;Oxytropis halleri ssp. halleri;oxyt hall hall
Primula farinosa;Primula farinosa;prim fari
Festuca sp.;Festuca sp.;fest spec ies
Leontodon hispidus;Leontodon hispidus s.lat.;leon hisp slat
Carex atrata;Carex atrata;care atra
Achillea millefolium;Achillea millefolium s.str.;achi mill
Achillea fissa;Alchemilla fissa s.str.;alch fiss
Polygala alpestris;Polygala alpestris ssp. alpestris;poly alpe alpe
Juncus alpinoarticulatus;Juncus alpinoarticulatus ssp. alpinoarticulatus;junc alpi alpi
Trifolium badium;Trifolium badium;trif badi
Tofieldia calyculata;Tofieldia calyculata;tofi caly
Juncus jacquinii;Juncus jacquinii;junc jacq
Carex firma;Carex firma;care firm
Minuartia gerardii;Minuartia gerardii;minu gera
Carex sempervirens;Carex sempervirens ssp. sempervirens;care semp semp
Pedicularis aspleniifolia;Pedicularis aspleniifolia;pedi aspl
Ranunculus alpestris;Ranunculus alpestris s.str.;ranu alpe
Thamnolia vermicularis;Thamnolia vermicularis var. vermicularis;tham verm verm
Doronicum glaciale;Doronicum glaciale ssp. glaciale;doro glac glac
Astragalus australis;Astragalus australis;astr aust alis
Cratoneuron falcatum;Palustriella commutata var. falcata;palu comm falc
